tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1901.00;3_4_1;300.00;13.53;1132.00;0.00;6_2_0;5.10;0.00;tripinfo_1132;769.00;1132;0;894.90;1.02;0.00;706.03;DEFAULT_VEHTYPE;;12;556.00
1901.00;2_1_0;300.00;13.93;1338.00;1004.00;3_2_0;5.10;0.00;tripinfo_334;563.00;334;0;694.90;1.01;0.00;512.74;DEFAULT_VEHTYPE;;6;470.00
1901.00;2_6_0;200.00;4.57;1806.00;531.00;2_6_0;5.10;0.00;tripinfo_1275;95.00;1275;0;194.90;0.87;0.00;78.89;DEFAULT_VEHTYPE;;3;60.00
1902.00;7_8_0;300.00;14.61;1830.00;4.00;5_6_0;5.10;0.00;tripinfo_1826;72.00;1826;0;994.90;1.09;0.00;6.17;DEFAULT_VEHTYPE;;0;0.00
1902.00;6_5_0;300.00;12.28;1397.00;0.00;1_2_0;5.10;0.00;tripinfo_1397;505.00;1397;0;794.90;0.97;0.00;445.39;DEFAULT_VEHTYPE;;3;425.00
1904.00;2_6_0;200.00;6.90;1812.00;461.00;2_6_0;5.10;0.00;tripinfo_1351;92.00;1351;0;194.90;1.03;0.00;78.28;DEFAULT_VEHTYPE;;1;63.00
1905.00;2_1_2;300.00;13.16;1865.00;0.00;6_2_0;5.10;0.00;tripinfo_1865;40.00;1865;0;494.90;1.01;0.00;4.71;DEFAULT_VEHTYPE;;0;0.00
1906.00;2_1_0;300.00;10.39;278.00;0.00;2_6_0;5.10;0.00;tripinfo_278;1628.00;278;0;1494.90;0.83;0.00;1518.89;DEFAULT_VEHTYPE;;14;1438.00
1907.00;6_7_0;400.00;11.73;1871.00;0.00;6_7_0;5.10;0.00;tripinfo_1871;36.00;1871;0;394.90;0.92;0.00;4.30;DEFAULT_VEHTYPE;;0;0.00
1913.00;6_7_0;400.00;14.63;916.00;0.00;2_6_0;5.10;0.00;tripinfo_916;997.00;916;0;594.90;1.07;0.00;956.40;DEFAULT_VEHTYPE;;12;874.00
